Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned from Libraries and Classrooms,,,,Florida,Flagler Schools,October 2022,Formal Challenge,2022-2023
"Acevedo, Elizabeth",Clap When You Land,Banned from Libraries,,,,Utah,Nebo School District,AY 2022-2023,Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Libraries and Classrooms,,,,Florida,School District of Hamilton County,March 2023,Administration,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Libraries,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Classrooms,,,,Texas,Keller Independent School District,January 2023,Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Libraries,,,,Texas,Lake Travis Independent School District,March 2023,Informal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned from Libraries,,,,Utah,Davis School District,January 2023,Formal Challenge,2022-2023
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,Utah,Granite School District,November 2022,Formal Challenge,2022-2023
"Acho, Emmanuel",Uncomfortable Conversations with a Black Boy,Banned from Libraries,,,,Florida,Clay County School District,September 2022,Formal Challenge,2022-2023
"Acho, Emmanuel",Uncomfortable Conversations with a Black Boy,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Aciman, André",Call Me By Your Name,Banned from Libraries and Classrooms,,,,Florida,St. John's County School District,January 2023,Formal Challenge,2022-2023
"Adichie, Chimamanda Ngozi",Americanah,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,September 2022,Formal Challenge,2022-2023
