Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Frank, E. R.",Dime,Banned,,,,Virginia,Hanover County Public Schools,August 2023,Administration,2023-2024
"Frank, E. R.",Dime,Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned pending investigation,,,,Florida,Duval County Public Schools,December 2023,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned by restriction,,,,Florida,Hernando County Schools,October 2023,Formal Challenge,2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Florida,Indian River County Schools,August 2023,Formal Challenge,2023-2024
"Frank, E. R.",Life is Funny,Banned by restriction,,,,Florida,Lake County Schools,January 2024,Unclear,2023-2024
"Frank, E. R.",Life is Funny,Banned pending investigation,,,,Florida,Polk County Public Schools,June 2024,Formal Challenge,2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Florida,School District of Manatee County,November 2023,Formal Challenge,2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Florida,Seminole County Public Schools,September 2023,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Iowa,Clear Lake Community School District,June 2024,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Iowa,East Union Community School District,June 2024,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned pending investigation,,,,Iowa,Linn-Mar Community School District,June 2024,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned pending investigation,,,,Iowa,Louisa-Muscatine Community School District,October 2023,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned pending investigation,,,,Iowa,Sigourney Community School District,October 2023,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned pending investigation,,,,Iowa,West Des Moines Community Schools,June 2024,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Iowa,Winterset Community School District,October 2023,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Tennessee,Rutherford County Schools,March 2024,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned pending investigation,,,,Texas,Fort Worth Independent School District,August 2023,Administration,2023-2024
"Frank, E. R.",Life is Funny,Banned pending investigation,,,,Utah,Granite School District,November 2023,Formal Challenge,2023-2024
"Frank, E. R.",Life is Funny,Banned,,,,Virginia,Hanover County Public Schools,August 2023,Administration,2023-2024
"Frank, E. R.",Wrecked,Banned,,,,Florida,Bay District Schools,June 2024,Formal Challenge,2023-2024
"Frank, E.R.",Friction,Banned,,,,Florida,Bay District Schools,April 2024,Formal Challenge,2023-2024
"Frank, E.R.",Friction,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Frank, E.R.",Friction,Banned,,,,Florida,Indian River County Schools,September 2023,Formal Challenge,2023-2024
"Frank, E.R.",Friction,Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Frank, Pat","Alas, Babylon",Banned pending investigation,,,,Florida,Clay County School District,October 2023,Formal Challenge,2023-2024
"Franta, Connor",A Work in Progress,Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Franzen, Jonathan",Freedom,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Frayn, Michael",A Landing on the Sun,Banned by restriction,,,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"Frazee, Marla",In Every Life,Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Frazier, Charles",Cold Mountain,Banned,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Frazier, Charles",Cold Mountain,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Frazier, Charles",Cold Mountain,Banned by restriction,,,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"Frazier, Charles",Cold Mountain,Banned pending investigation,,,,Florida,Union County School District,August 2023,Administration,2023-2024
"Fredericks, Mariah",Season of the witch,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Fredericks, Mariah",The true meaning of cleavage,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Freitas, Donna",The Big Questions Book of Sex and Consent,Banned,,,,Texas,Brownsville Independent School District,May 2024,Informal Challenge,2023-2024
"French, Gillian",Grit,Banned pending investigation,,,,Florida,Duval County Public Schools,December 2023,Administration,2023-2024
"French, Gillian",Grit,Banned pending investigation,,,,Florida,Okaloosa County School District,August 2023,Administration,2023-2024
"French, Gillian",Grit,Banned pending investigation,,,,Florida,Polk County Public Schools,June 2024,Formal Challenge,2023-2024
"French, Gillian",Grit,Banned,,,,Texas,Conroe Independent School District,November 2023,Informal Challenge,2023-2024
"French, Tana",The Likeness,Banned pending investigation,,,,Florida,Orange County Public Schools,December 2023,Administration,2023-2024
"Frey, James",Endgame: The Calling,Banned pending investigation,"Johnson-Shelton, Nils",,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Frick, Kit",All Eyes on Us,Banned pending investigation,,,,Georgia,Cobb County School District,August 2023,Administration,2023-2024
"Frick, Lisa",Teenage Pregnancy and Parenting,Banned,,,,Kentucky,Boyle County Schools,October 2023,Administration,2023-2024
"Friend, Natasha",Lush,Banned pending investigation,,,,Florida,Clay County School District,October 2023,Formal Challenge,2023-2024
"Friend, Natasha",Lush,Banned pending investigation,,,,Florida,Okaloosa County School District,August 2023,Administration,2023-2024
"Friend, Natasha",Lush,Banned,,,,Iowa,Mid-Prairie Community School District,June 2024,Administration,2023-2024
"Friend, Natasha",Lush,Banned,,,,Iowa,Southeast Warren Community School District,June 2024,Administration,2023-2024
"Fromm, Erick",To Have or to Be?,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Frost, Mark",The Paladin Prophecy,Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Fuentes, Carlos",The Campaign,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Fukui, Isdamu",Truancy City,Banned,,,,Iowa,WACO Community School District,June 2024,Administration,2023-2024
"Fukui, Isdamu",Truancy Origins,Banned,,,,Iowa,WACO Community School District,June 2024,Administration,2023-2024
"Funke, Cornelia",Inkdeath,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gabaldon, Diana",A Breath of Snow and Ashes,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gabaldon, Diana",An Echo in the Bone,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gabaldon, Diana",Dragonfly in Amber,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gabaldon, Diana",Drums of Autumn,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gabaldon, Diana",Outlander,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gabaldon, Diana",Outlander,Banned,,,,Wisconsin,Howard-Suamic School District,November 2023,Administration,2023-2024
"Gabaldon, Diana",The Fiery Cross,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gabaldon, Diana",Voyager,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gabaldon, Diana",Written in My Own Heart's Blood,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gaetz, Dayle Campbell",No Problem,Banned,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Gagnon, Jilly",#famous,Banned pending investigation,,,,Iowa,Nevada Community School District,October 2023,Administration,2023-2024
Gail Villanueva,My Fate According to the Butterfly,Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Gaiman, Neil",American Gods,Banned pending investigation,,,,Florida,Escambia County Public Schools,December 2023,Formal Challenge,2023-2024
"Gaiman, Neil",American Gods,Banned pending investigation,,,,Iowa,Waukee Community School District,June 2024,Administration,2023-2024
"Gaiman, Neil",American Gods,Banned,,,,Texas,Conroe Independent School District,December 2023,Informal Challenge,2023-2024
"Gaiman, Neil",American Gods,Banned pending investigation,,,,Texas,Fort Worth Independent School District,August 2023,Administration,2023-2024
"Gaiman, Neil",Anansi Boys,Banned pending investigation,,,,Florida,Orange County Public Schools,December 2023,Administration,2023-2024
"Gaiman, Neil","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Gaiman, Neil",Neverwhere,Banned,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Gaiman, Neil",Norse Mythology,Banned pending investigation,,,,Florida,Escambia County Public Schools,May 2024,Administration,2023-2024
"Gaiman, Neil",Stardust,Banned,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Gaiman, Neil",Stardust,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gaiman, Neil",Stardust,Banned pending investigation,,,,Iowa,Cedar Falls Community School District,June 2024,Administration,2023-2024
"Gaiman, Neil",Stardust,Banned pending investigation,,,,Iowa,Council Bluffs Community School District,June 2024,Administration,2023-2024
"Gaiman, Neil",Stardust,Banned pending investigation,,,,Iowa,Iowa City Community School District,October 2023,Administration,2023-2024
"Gaiman, Neil",Stardust,Banned,,,,Iowa,Pocahontas Area Community School District,June 2024,Administration,2023-2024
"Gaiman, Neil",Stardust,Banned by restriction,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Gaiman, Neil",The Ocean at the End of the Lane,Banned pending investigation,,,,Florida,Escambia County Public Schools,May 2024,Administration,2023-2024
"Gaiman, Neil",The Ocean at the End of the Lane,Banned by restriction,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Gaiman, Neil","The Sandman, Vol. 1: Preludes and Nocturnes",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 10: The Wake",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 2: The Doll's House",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 3: Dream Country",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 4: Season of Mists",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 5: A Game of You",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 6: Fables and Reflections",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 7: Brief Lives",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 8: World's End",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaiman, Neil","The Sandman, Vol. 9: The Kindly Ones",Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Unclear,2023-2024
"Gaines, Ernest J.",A Gathering of Old Men,Banned,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Gaines, Ernest J.",A Lesson Before Dying,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gale, Heather",Ho'onani: Hula Warrior,Banned pending investigation,,"Song, Mika",,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Ganeri, Anita",The Ancient Romans,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Garber, Romina",Cazadora,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Garber, Romina",Lobizona,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Garber, Stephanie",Caraval,Banned by restriction,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Garber, Stephanie",Legendary,Banned by restriction,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"García Lorca, Federico",The House of Bernarda Alba,Banned by restriction,"Lorca, Federico Garcia",,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"García Márquez, Gabriel",Chronicle of a Death Foretold,Banned by restriction,,,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"García Márquez, Gabriel",Love in the Time of Cholera,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"García Márquez, Gabriel",Love in the Time of Cholera,Banned by restriction,,,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"García Márquez, Gabriel",One Hundred Years of Solitude,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"García, Cristina",Dreaming in Cuban,Banned,,,,Florida,Nassau County School District,November 2023,Formal Challenge,2023-2024
"García, Cristina",Dreaming in Cuban,Banned,,,,Iowa,Winterset Community School District,October 2023,Administration,2023-2024
"Garcia, Kami",Beautiful Chaos,Banned,"Stohl, Margaret",,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Garcia, Kami",Beautiful Creatures,Banned pending investigation,"Stohl, Margaret",,,Florida,Clay County School District,June 2024,Formal Challenge,2023-2024
"Garcia, Kami",Beautiful Creatures,Banned,"Stohl, Margaret",,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Garcia, Kami",Beautiful Darkness,Banned,"Stohl, Margaret",,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Garcia, Kami",Beautiful Redemption,Banned,"Stohl, Margaret",,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Garcia, Kami",The Lovely Reckless,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Garden, Nancy",Annie on My Mind,Banned by restriction,,,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"Garden, Nancy",Molly's Family,Banned by restriction,,"Wooding, Sharon",,Florida,St. John's County School District,July 2023,Administration,2023-2024
"Gardiner, John Eliot",Bach: Music in the Castle of Heaven,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gardner, John",Grendel,Banned pending investigation,,,,Iowa,Nevada Community School District,October 2023,Administration,2023-2024
"Gardner, Sally",Maggot Moon,Banned pending investigation,,"Crouch, Julian",,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Garrett, Camryn",Friday I'm in Love,Banned pending investigation,,,,Florida,Santa Rosa County Schools,May 2024,Formal Challenge,2023-2024
"Garrett, Camryn",Full Disclosure,Banned,,,,Florida,Clay County School District,April 2024,Formal Challenge,2023-2024
"Garrett, Camryn",Full Disclosure,Banned,,,,Florida,Collier County Public Schools,June 2024,Formal Challenge,2023-2024
"Garrett, Camryn",Full Disclosure,Banned pending investigation,,,,Florida,Escambia County Public Schools,April 2024,Formal Challenge,2023-2024
"Garrett, Camryn",Full Disclosure,Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Garrett, Camryn",Full Disclosure,Banned,,,,Texas,North East Independent School District,June 2024,Administration,2023-2024
"Garsee, Jeannine",Say the Word,Banned,,,,Florida,Collier County Public Schools,September 2023,Formal Challenge,2023-2024
"Garvin, Jeff",Symptoms of Being Human,Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Garwood, Julie",Killjoy,Banned pending investigation,,,,Florida,Orange County Public Schools,December 2023,Administration,2023-2024
"Gattis, Ryan",Air,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gay, Roxane",Not That Bad: Dispatches from Rape Culture,Banned pending investigation,,,,Iowa,Iowa City Community School District,October 2023,Administration,2023-2024
"Gay, Roxane",Not That Bad: Dispatches from Rape Culture,Banned pending investigation,,,,Iowa,Waterloo Community School District,June 2024,Administration,2023-2024
"Gay, Roxane",Not That Bad: Dispatches from Rape Culture,Banned pending investigation,,,,Iowa,West Des Moines Community Schools,October 2023,Administration,2023-2024
"Gay, Roxane",Not That Bad: Dispatches from Rape Culture,Banned by restriction,,,,Maryland,Caroll County School District,August 2023,Formal Challenge,2023-2024
"Gay, Roxane",The Sacrifice of Darkness,Banned,"Oliver, Tracy Lynne","Kirby, Rebecca; Fenner, James",,Florida,Indian River County Schools,January 2024,Formal Challenge,2023-2024
"Geary, Rick",Famous Players: The Mysterious Death of William Desmond Taylor,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gebhart, Ryan",Of Jenny and the Aliens,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gedatus, Gustav Mark",Date and Acquaintance Rape,Banned,,,,Iowa,South Tama County Community School District,December 2023,Administration,2023-2024
"Geerling, Marjetta",Fancy White Trash,Banned,,,,Florida,Collier County Public Schools,September 2023,Formal Challenge,2023-2024
"Geiger, J. C.",Wildman,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Geiger, J. C.",Wildman,Banned pending investigation,,,,Iowa,Nevada Community School District,October 2023,Administration,2023-2024
"Gemeinhart, Dan",The Remarkable Journey of Coyote Sunrise,Banned by restriction,,,,Florida,St. John's County School District,July 2023,Administration,2023-2024
"George, Alice L.",The Last American Hero: The Remarkable Life of John Glenn,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"George, Jean Craighead",Julie of the Wolves,Banned by restriction,,"Schoenherr, John",,Florida,Clay County School District,September 2023,Formal Challenge,2023-2024
"George, Jean Craighead",Julie of the Wolves,Banned,,"Schoenherr, John",,Florida,Indian River County Schools,September 2023,Formal Challenge,2023-2024
"George, Jean Craighead",Julie of the Wolves,Banned by restriction,,"Schoenherr, John",,Florida,Lee County Schools,June 2024,Administration,2023-2024
"George, Jean Craighead",Julie of the Wolves,Banned,,"Schoenherr, John",,Iowa,Marshalltown Community School District,September 2023,Administration,2023-2024
"George, Madeleine",The Difference Between You and Me,Banned pending investigation,,,,Iowa,Norwalk Community School District,October 2023,Administration,2023-2024
"George, Madeleine",The Difference Between You and Me,Banned,,,,Kentucky,Boyle County Schools,October 2023,Administration,2023-2024
"George, Margaret",Helen of Troy,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned pending investigation,,,,Florida,Indian River County Schools,January 2024,Formal Challenge,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned by restriction,,,,Iowa,Interstate 35 Community School District,June 2024,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned,,,,Iowa,Lake Mills Community School District,June 2024,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned pending investigation,,,,Iowa,Norwalk Community School District,October 2023,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned,,,,Iowa,Spirit Lake Community School District,June 2024,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned,,,,Iowa,Winterset Community School District,October 2023,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned,,,,Iowa,Woodward-Granger Community School District,June 2024,Administration,2023-2024
"Gephart, Donna",Lily and Dunkin,Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Gephart, Donna",The Paris Project,Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Gessner, Marina",The Distance From Me to You,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Ghafoerkhan, Olivia",Gender Identity (OG),Banned,,,,Kentucky,Boyle County Schools,October 2023,Administration,2023-2024
"Gibbons, Kaye",Ellen Foster,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gibbs, Stuart",Spy School Secret Service,Banned by restriction,,,,Florida,Clay County School District,July 2023,Formal Challenge,2023-2024
"Gilb, Dagoberto",Woodcuts of Women: Stories,Banned pending investigation,,,,Florida,Escambia County Public Schools,March 2024,Formal Challenge,2023-2024
"Gilbert, Elizabeth","Eat, Pray, Love: One Women's Search for Everything Across Italy, India and Indonesia",Banned by restriction,,,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"Gilbert, Kelly Loy",Picture Us In the Light,Banned by restriction,,,,Florida,Charlotte County Public Schools,August 2023,Administration,2023-2024
"Gilbran, Lahlil",Sand and Foam,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Giles, Amy",That Night,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Giles, Gail",Girls Like Us (2015),Banned,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Giles, Gail",Girls Like Us (2015),Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Giles, Gail",Girls Like Us (2015),Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Giles, Lamar",Endangered (LG),Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Giles, Lamar",Fake ID,Banned by restriction,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Giles, Lamar",Not So Pure and Simple,Banned by restriction,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gilliland, Raquel Vazquez",How Moon Fuentez Fell in Love with the Universe,Banned,,,,Iowa,Grundy Center Community School District,June 2024,Administration,2023-2024
"Gilliland, Raquel Vazquez",How Moon Fuentez Fell in Love with the Universe,Banned,,,,Iowa,Oskaloosa Community School District,October 2023,Administration,2023-2024
"Gillman, Melanie",As the Crow Flies,Banned,,,,Florida,St. John's County School District,July 2023,Administration,2023-2024
"Gillman, Melanie",As the Crow Flies,Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Gillman, Melanie",Stage Dreams,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gingher, Marianne",Bobby Rex's Greatest Hits,Banned pending investigation,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Gino, Alex",Alice Austen Lived Here,Banned,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Alice Austen Lived Here,Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned pending investigation,,,,Florida,Alachua County Public Schools,November 2023,Formal Challenge,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Florida,Martin County Schools,April 2024,Formal Challenge,2023-2024
"Gino, Alex",Melissa (George),Banned by restriction,,,,Florida,Seminole County Public Schools,November 2023,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned by restriction,,,,Florida,St. John's County School District,July 2023,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Iowa,Glenwood Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Iowa,Muscatine Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned pending investigation,,,,Iowa,Norwalk Community School District,October 2023,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Iowa,Solon Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Iowa,Spirit Lake Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Iowa,United Community School District,October 2023,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Iowa,Winterset Community School District,October 2023,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Iowa,Woodward-Granger Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned,,,,Texas,Conroe Independent School District,October 2023,Administration,2023-2024
"Gino, Alex",Melissa (George),Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Gino, Alex",Rick,Banned,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Rick,Banned pending investigation,,,,Iowa,Alta-Aurelia Community Schools,October 2023,Administration,2023-2024
"Gino, Alex",Rick,Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Rick,Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Rick,Banned,,,,Iowa,Muscatine Community School District,June 2024,Administration,2023-2024
"Gino, Alex",Rick,Banned pending investigation,,,,Iowa,Norwalk Community School District,October 2023,Administration,2023-2024
"Gino, Alex",Rick,Banned,,,,Iowa,United Community School District,October 2023,Administration,2023-2024
"Gino, Alex",Rick,Banned,,,,Texas,Conroe Independent School District,November 2023,Informal Challenge,2023-2024
"Gino, Alex","You Don’t Know Everything, Jilly P!",Banned pending investigation,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Administration,2023-2024
"Gino, Alex","You Don’t Know Everything, Jilly P!",Banned pending investigation,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Ginsberg, Allen",Collected Poems 1947-1980,Banned,,,,Florida,School District of Manatee County,December 2023,Formal Challenge,2023-2024
"Ginsberg, Allen",Collected Poems 1947-1980,Banned,,,,Idaho,West Ada School District,December 2023,Administration,2023-2024
"Ginsberg, Allen",Collected Poems 1947-1980,Banned,,,,Texas,Keller Independent School District,April 2024,Formal Challenge,2023-2024
"Ginsberg, Allen",Collected Poems 1947-1980,Banned by restriction,,,,Wyoming,Laramie County School District No. 1,May 2024,Formal Challenge,2023-2024
"Ginsberg, Allen",Howl and Other Poems,Banned pending investigation,,,,Florida,Orange County Public Schools,December 2023,Administration,2023-2024
"Girard, M-E",Girl Mans Up,Banned,,,,Florida,Clay County School District,July 2023,Formal Challenge,2023-2024
"Girard, M-E",Girl Mans Up,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Girard, M-E",Girl Mans Up,Banned,,,,Iowa,Woodward-Granger Community School District,June 2024,Administration,2023-2024
"Gish, Steven",Ethiopia,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Gitlin, Martin",Sexual Consent,Banned,,,,Kentucky,Boyle County Schools,October 2023,Administration,2023-2024
"Glaser, Milton",Graphic Design,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
